"","wt00","wt02","wt05","wt10","wt15","wt20","wt30","wt45"
"YER114C",598,564,673,699,610,811,1059,848
"YER115C",210,187,208,179,134,110,171,151
"YER116C",364,377,356,287,196,170,177,150
"YER117W",156,174,391,1327,1793,2639,5120,6305
"YER118C",95,87,161,427,508,598,831,672
"YER119C",812,724,561,271,173,161,141,187
"YER119C-A",9,9,8,3,0,0,0,3
"YER120W",967,998,956,876,836,954,1406,1362
"YER121W",685,679,397,77,27,24,9,18
"YER122C",977,931,1145,1460,1474,1702,2168,2067
"YER123W",791,688,713,592,510,481,487,504
"YER124C",3393,3029,1924,3213,1706,1259,1849,2230
"YER125W",1938,1603,1259,1007,764,695,903,965
"YER126C",6,16,390,761,827,1132,1216,658
"YER127W",21,38,395,523,453,677,688,311
"YER128W",95,87,124,129,127,129,128,122
"YER129W",732,695,860,1041,783,856,1033,879
"YER130C",107,194,575,374,270,263,328,351
"YER131W",78,51,248,1007,1587,2678,5168,5974
"snR4",22,11,24,19,11,16,23,20
"YER132C",147,190,339,577,532,649,689,493
"YER133W",3295,3562,2785,2013,1678,1677,2035,2208
"YER133W-A",9,1,2,4,0,1,1,2
"YER134C",516,460,398,273,209,208,213,201
"YER135C",29,22,14,2,2,2,2,1
"YER136W",2426,2398,2329,1958,1506,1391,1474,1697
"YER137C",8,9,36,58,57,66,85,44
"SCR1",161,128,120,96,49,66,95,125
"YER138C",3358,3106,2825,2730,2649,2975,3460,3222
"YER138W-A",17,9,9,21,26,27,34,28
"YER139C",245,236,328,285,192,160,137,117
"YER140W",142,153,261,266,224,209,238,193
"YER141W",2450,2018,1450,776,513,434,512,630
"YER142C",727,707,534,198,140,101,62,92
"YER143W",1142,1053,756,374,251,230,186,221
"YER144C",621,558,678,416,282,294,383,322
"YER145C",188,196,919,1824,1084,957,2396,4406
"YER146W",162,180,150,156,180,173,275,307
"YER147C",223,195,224,218,167,170,181,139
"YER147C-A",6,4,4,8,10,8,7,6
"YER148W",543,568,867,1044,995,1034,1350,1204
"YER148W-A",12,14,15,31,35,26,44,30
"YER149C",78,80,184,322,312,298,377,269
"YER150W",3893,3872,2678,968,289,175,47,59
"YER151C",621,633,1056,1176,1028,1186,1380,1083
"YER152C",667,668,587,419,322,261,421,534
"YER153C",67,64,41,25,18,27,35,52
"YER154W",464,434,439,392,332,360,439,379
"YER155C",1726,1707,1325,1658,1711,2066,2319,2388
"YER156C",51,49,200,408,437,596,784,411
"YER157W",299,277,341,486,401,440,462,479
"YER158C",261,229,550,202,153,159,229,267
"YER158W-A",11,9,12,7,11,9,6,8
"YER159C",1097,1104,1489,1259,956,878,800,795
"YER160C",2293,2108,2227,2431,2417,2889,3161,2735
"YER161C",543,474,389,424,384,398,474,356
"YER162C",1331,1253,1040,440,205,181,190,208
"YER163C",510,474,382,357,277,233,229,240
"YER164W",1146,1106,1122,1100,992,1230,1422,1226
"YER165W",1226,1290,2572,3456,3393,4574,6747,6549
"YER166W",1120,1058,899,1250,1109,1211,1413,1305
"YER167W",625,543,945,851,517,633,713,637
"YER168C",324,362,494,573,514,489,581,480
"YER169W",773,692,1287,562,454,438,313,284
"YER170W",173,132,78,75,82,86,108,98
"YER171W",288,275,359,532,518,611,715,550
"YER172C",825,780,593,927,762,815,1041,800
"YER173W",232,182,366,322,253,289,320,266
"YER174C",278,260,250,281,347,324,325,269
"YER175C",468,483,479,334,199,170,262,275
"YER175W-A",10,11,12,5,9,4,5,2
"YER176W",452,478,846,1159,976,1114,1238,873
"YER177W",5425,5277,5558,5195,4750,5219,6332,6208
"YER178W",4123,3963,3791,3047,2139,2126,2376,2018
"YER179W",66,65,55,41,21,18,7,11
"YER180C",152,141,247,271,229,215,271,187
"YER180C-A",45,45,81,70,54,82,74,59
"YER181C",1,8,5,1,1,1,0,0
"YER182W",1132,1102,629,247,166,131,101,98
"YER183C",155,137,152,168,140,166,196,135
"YER184C",201,178,298,158,103,96,110,95
"YER185W",8,5,12,9,15,8,10,15
"YER186C",531,506,401,337,265,257,359,365
"YER187W",25,23,27,11,13,5,12,11
"YER188W",20,15,16,8,18,12,24,24
"YER188C-A",8,7,7,8,9,1,6,7
"YER189W",11,4,5,22,31,35,20,31
"YER190W",527,492,356,475,587,693,684,575
"YHL050C",344,268,226,250,298,250,310,296
"YHL049C",34,24,41,56,86,85,77,65
"YHL048W",528,506,471,256,156,159,190,242
"YHL047C",829,714,534,585,379,340,337,570
"YHL046C",5,5,2,2,0,3,0,1
"YHL045W",9,7,7,1,1,0,2,5
"YHL044W",219,190,207,128,63,46,53,54
"YHL042W",30,40,34,34,22,8,6,9
"YHL040C",274,241,439,1209,489,281,222,346
"YHL039W",125,107,377,560,457,708,854,443
"YHL038C",286,227,354,582,220,171,200,188
"YHL037C",4,3,10,7,3,0,0,0
"YHL036W",146,125,1939,2424,472,20,6,14
"YHL035C",1118,972,776,779,387,301,470,1443
"YHL034W-A",14,7,3,6,4,4,1,3
"YHL034C",5095,4928,4968,3543,2389,2408,2594,2386
"YHL033C",61,45,478,1722,2392,4047,6173,5648
"YHL032C",4580,4201,2284,488,175,147,177,246
"YHL031C",371,354,263,177,162,161,209,203
"YHL030W-A",19,12,13,5,2,3,0,0
"YHL030W",912,789,566,642,608,534,439,498
"YHL029C",183,118,496,409,307,338,388,281
"YHL028W",30,24,72,49,47,45,87,209
"YHL027W",696,704,1262,877,653,569,468,420
"YHL026C",25,41,120,117,65,66,60,81
"YHL025W",681,679,498,287,268,270,359,383
"YHL024W",126,91,141,51,14,8,11,47
"YHL023C",559,499,691,797,591,550,563,522
"YHL022C",32,29,26,33,42,51,66,61
"YHL021C",20993,18123,5416,893,254,96,51,148
"YHL020C",894,832,657,1034,766,694,770,727
"YHL019W-A",4,3,4,4,3,6,6,10
"YHL019C",576,567,571,316,232,225,233,231
"YHL018W",23,17,35,17,14,18,22,19
"YHL017W",354,281,383,444,342,346,462,464
"YHL016C",146,136,2876,2107,460,124,131,122
"YHL015W",2016,1974,2006,2712,3273,4765,9106,12841
"YHL014C",242,207,260,194,163,152,141,120
"YHL013C",107,129,186,277,364,415,396,275
"YHL012W",19,25,27,14,10,12,8,9
