"","wt00","wt02","wt05","wt10","wt15","wt20","wt30","wt45"
"YKR014C",10.6193526977955,10.7529063728083,10.6018014775351,10.335902069689,10.1818447228229,9.78106017641626,9.51399996666779,9.57501622624829
"YKR015C",3.42686097116493,3.19233998287959,3.2069277620744,3.08761487319226,2.33526763521633,2.88654253306903,3.44328057415026,3.23232433757256
"YKR016W",11.2314771957671,11.2555543717543,10.4806883480509,9.99769568808988,9.54191066115919,9.29142650747656,9.18851598583769,9.83200759021872
"YKR017C",9.01791071405366,8.79124197537778,8.03098762382792,6.94887786559219,6.49767392939832,6.81429621022271,6.81328070851173,6.95237292834565
"YKR018C",11.596692170055,11.507624555807,11.3285235629602,10.4096108120718,10.2315695895863,10.0272534255984,9.9802319758236,9.91103358710371
"YKR019C",7.28011746622077,7.1211168485839,7.22440536690856,6.99047462994854,7.20576984792722,7.2359738724189,7.47654484409542,6.964524428525
"YKR020W",8.05855328897725,8.08749919005536,7.88374367671509,7.77084489200099,7.59890576053473,7.27716589835772,7.25742356801921,7.22911018742466
"YKR021W",9.5420276963186,9.48916552808356,9.40906062869105,9.23438874627567,9.10764314037498,8.88484859827706,8.54329133166963,8.46013934894759
"YKR022C",8.02210421440729,8.18547415548109,8.49362775839754,8.69812134286605,8.56117418099882,8.52334998981648,8.12143340950905,8.28712968539784
"YKR023W",8.07897516989009,8.27253035108051,8.75262957933402,8.84138179109545,8.61482774046097,8.4974422760075,8.36049413587118,8.20758194813227
"YKR024C",3.66635460574035,3.83656631161946,8.01643391571997,8.86672851099605,9.03985733157544,9.6771886981245,9.32286162201603,8.10704256115564
"YKR025W",6.47420451507361,6.64340972357524,8.37695216662916,8.49638209723887,8.88721757458662,9.23505711013953,9.23316031912332,8.64133914517675
"YKR026C",5.86997273292295,6.35500348035631,8.1062208365847,8.9768745782585,9.1915276702502,9.20868797536093,9.26519406997878,8.96231425526266
"YKR027W",7.80635879724622,7.91181549771805,7.7077152590519,8.25325525582808,8.26332380240815,8.36042824543233,8.48230182968273,8.49824585459735
"YKR028W",9.83400667884439,9.80526641026781,9.86126225420547,10.6709214390033,10.5192476723091,10.3284721617343,10.160148166806,10.1976078317466
"YKR029C",9.4723367046498,9.55238260947313,9.40720245640009,8.98461326908722,8.92037673126485,8.8096427182432,8.71216484203161,8.96534029544933
"YKR030W",7.95739409986623,7.99381474452021,7.73760018826217,7.95543776057368,8.16160590433591,8.08112894359788,7.81012351699149,8.02820270123146
"YKR031C",10.5396355054663,10.417331835691,9.73658349412776,9.25799490292817,9.37494019013514,9.37205439956132,9.27646447575413,9.67451698933692
"YKR034W",2.23339754298793,3.19233998287959,3.57662505134646,4.79232885722857,3.83074605449114,1.89957909722436,2.54030970182627,2.84966550339451
"YKR035C",2.76444548025306,2.57311811138122,2.88854186028553,1.80248311537504,2.33526763521633,3.09416066424924,2.54030970182627,3.23232433757256
"YKR035W-A",9.69704356352387,9.6422994353591,8.99458252496965,9.07437748377678,9.05187730195325,8.77411768780279,8.33484792691744,8.39430256804756
"YKR036C",7.72446484381849,8.02757890017157,8.49012093516216,8.73834685391857,8.5653729699501,8.96265331174015,9.12509482191201,9.06179730485955
"YKR037C",7.54525303507965,7.53519158633356,7.16405785828157,7.37508922333608,7.50584213552734,7.76372473163495,7.81631474147139,7.82330785662895
"YKR038C",8.36332457126546,8.41540508899715,8.36933687617902,8.72300795046134,8.6782358827247,8.75237503761095,9.12758635562063,8.85871800053098
"YKR039W",10.1701027081612,10.2664369232044,12.1444966306238,12.7836348203217,12.0171440190775,10.995109318774,9.39702083700131,8.95928185448958
"YKR041W",2.76444548025306,2.27220451053308,4.31505495413081,4.74432174697811,5.18476256329529,4.88364082801118,5.42386746459301,4.93358645921391
"YKR042W",10.8039582661301,10.9674194159125,11.643472645297,11.5287296543793,11.1260100346608,11.342403719156,11.6551119718778,12.1555689797356
"YKR043C",5.86997273292295,5.99407723615428,7.99184661676577,9.24301756090198,9.55463843846894,10.051195788666,10.4159553387002,10.1385139754736
"YKR044W",5.49720883383162,5.51134823428356,6.49224885124935,7.31905612396135,7.69401822333074,7.96619363758133,7.95745066443738,7.57651955161396
"YKR045C",5.52728445438585,5.30621187487981,6.01424608189462,6.40412244185866,6.04728601118413,6.39497647958737,5.982274798895,5.56533319826257
"YKR046C",9.9904185854322,10.0630464910843,9.63862268815973,8.93754592447632,8.47452520161578,7.7852992487935,6.60012966513309,6.71407389574585
"YKR047W",4.41557927970588,4.48597408373864,4.70405411589764,4.41651183671805,4.89476283051053,5.48652033149228,5.89129553349382,5.56533319826257
"YKR048C",11.009427100519,11.0989536531146,10.882877491799,10.5784934067773,10.5982119600308,10.5765023862464,10.7541903389876,10.4135032438587
"YKR049C",10.0805265441224,10.1254415594424,9.65750419612537,8.78636330507367,8.2372435083857,7.30730581952284,6.54152666860651,6.30003991862802
"YKR050W",9.24045613524531,9.34262645613468,8.63370888099377,8.10966115610704,7.66300570203102,7.76372473163495,7.88860807576542,7.86279167810228
"YKR051W",8.2281445351037,8.21018808666456,8.14241550060764,7.87999005532355,7.63131175578049,7.55349292869442,7.65985760972954,8.07378021891394
"YKR052C",9.04151493513824,8.82042809826203,7.42139901696624,6.87306525976238,6.58300992066068,6.31809001638113,7.03124415707845,7.88213557923915
"YKR053C",5.64166888760657,5.47912701677354,5.0483064742941,4.53434549206608,4.94735224856152,5.62074433282179,6.31533891494036,6.42844019077971
"YKR054C",9.23364126838772,9.46677871101238,8.85705464529572,9.03517011660034,9.32875865645309,9.91919263218626,10.0115948419869,9.74135677563143
"YKR055W",8.04304488769881,7.92978339896334,7.54823178748198,7.28603195265922,7.07049667410348,7.44922516094159,7.28447310228079,6.79795924066727
"YKR056W",5.49720883383162,5.79917677653081,8.5040973689315,9.15202608857477,9.38922195943263,10.0181715989244,9.66399398749739,8.74358218326713
"YKR057W",6.67542044032932,6.64340972357524,7.57496399096988,8.92150926915729,9.72195502873421,10.3479332417439,11.0152688738491,11.5561730247149
"YKR058W",11.0114205968062,10.8081824026542,9.04085774793553,7.79451911575092,7.35876475708162,6.60372226228664,6.40025201851006,7.35444327337374
"YKR059W",9.25399004689384,9.30870024407765,10.2262707130637,11.117625726012,11.5754366085578,12.0342496349147,12.6424172776859,12.9706239230464
"YKR060W",5.30221398991921,5.34249861689536,7.47915002953168,8.1143717022329,8.3631711579254,8.84431393504414,8.80537054216091,7.84975011628848
"YKR061W",6.41114994542455,6.42426367135741,8.34236225988394,8.46721916210847,8.08178197991427,7.73444741065026,7.36270502430475,7.37279405266279
"snR42",5.26697945500594,5.23076851105142,4.88649355947953,4.47664569191863,3.83074605449114,3.43217582961431,3.1516678562061,3.98261151657429
"YKR062W",9.38277334631578,9.56201476278736,9.39974574103454,8.86113426653491,8.92365111075088,8.96265331174015,8.76433155857142,8.4940611663036
"YKR063C",5.74762829281354,5.92404345267376,7.65857297101754,8.59066939415384,8.72026658449214,8.78843284563082,8.54701890343465,8.18699022696721
"YKR064W",8.74510862523635,8.61367690804834,8.97965544292298,9.17249723821857,9.10187353583412,9.24027358955865,9.02440779538462,8.90042104369083
"YKR065C",9.4011363629372,9.51914373531852,9.02398118258123,8.70750420234076,8.56117418099882,8.44870155773876,8.277665816046,8.21776862463746
"YKR066C",10.9406528144085,10.9344278980127,10.5639400118606,9.961554999316,9.59627122581482,9.31880621577518,8.8781977975569,9.08979748689327
"YKR067W",11.9789843183053,11.6376591428025,10.1371542513929,9.04012970637625,8.44748208347574,8.04581305159999,7.90031241745121,8.49824585459735
"YKR068C",8.42045431407557,8.62842131701347,8.40329349895436,8.84422018526373,9.05187730195325,8.74505405258661,8.56551364358492,8.64133914517675
"YKR069W",7.59573395858261,7.51152404772937,8.94164770916972,12.3418466227245,12.0635210279986,8.99387300412771,6.84996243831869,6.78431286894953
"YKR070W",8.75148389701953,8.77145127726564,8.53165046273374,8.27023973654751,8.37278608069892,8.16581182943269,8.46664288227351,8.67129825992184
"YKR071C",9.0336896944097,9.16440578382803,9.26259821455139,9.53065251674663,9.79528723630791,9.82512163965999,9.44375741077389,8.9470881070544
"YKR072C",9.476191102309,9.20677536822822,9.09956898180236,9.56202486350351,9.5588561996259,9.40726494116934,9.38873590233338,9.21457447031245
"YKR073C",3.28939533911021,2.57311811138122,3.46412463195813,2.91730193786704,3.10248464681028,3.27368979428982,3.78978850380515,3.77451125272411
"YKR074W",9.00729469250221,9.06764881895347,8.84062600653513,8.56336910466497,8.32405753243405,8.3017586369956,8.5358071684819,8.68604769364368
"YKR075C",8.81981314684355,8.46553429509117,6.54729801496443,4.88376867406186,4.89476283051053,4.71335234748374,5.09697690682996,4.83079162289457
"YKR076W",10.9655441388944,11.0165850250072,10.5026087530652,9.55857254764408,8.55273976258415,7.95988311508998,6.89746360400899,6.98852451319603
"YKR077W",6.27610956289179,6.47410889266482,7.72572040927503,8.5249671626576,8.66655720347378,8.46661656729526,7.97968697739199,8.10155182514365
"YKR078W",8.70625377734962,8.71385673198357,8.45097254686739,8.25325525582808,8.0640866678988,7.92142903300245,7.6108338856518,7.85628563526743
"YKR079C",6.39494572990128,5.74603201317042,7.84033256630438,9.46393965912417,9.38447706149538,9.59406258227589,9.4377465168324,8.97738138039677
"YKR080W",10.1376163494258,10.1676922530041,12.0371505299032,13.7122376102312,13.9183979613761,13.2480600701015,10.0263568260069,9.02456519806606
"YKR081C",4.20707656786242,4.48597408373864,7.9413779289434,9.30201599556299,9.78452222750817,10.2296478646577,10.5248677938265,9.48510772438606
"YKR082W",8.62872356661184,8.52977355940695,9.27283878696503,10.1682172807624,10.3062234050472,10.4505154465093,10.4361962732528,10.1465344159252
