"m.z","p.value","t.score"
218.1391,0.0526357604134443,2.4904186770956
218.1392,0.0284213767615802,2.94897529643453
218.5311,4.39669434453873e-06,-11.5843876495273
218.9487,0.00843855490132807,-3.81223993618687
218.9588,4.92571146181944e-06,-11.4217077895553
218.9841,0.0853160162315921,-2.16290420900752
219.071,0.000294025670516036,6.69268727555073
219.098,0.0198105334409895,-3.21201352800102
219.1343,0.325532209734593,1.15711539868999
220.082,1.9432019727023e-09,33.203677951689
220.1186,0.431475304678457,-0.923210965856842
220.9974,0.00275150399951581,-4.66439102890796
221.0338,4.21674366424056e-06,-11.6814452813683
221.0748,0.0870167702450675,-2.14884313511312
221.0926,0.00501578823824382,-4.21345087331631
221.0927,0.00385816834169499,-4.40905636082633
222.0408,0.0941319241096606,2.0943211524372
222.0977,1.47068138949168e-06,13.4380185151148
222.9595,0.000153750043372702,-7.32183816770135
223.025,0.598880572212005,-0.616523317510996
223.2061,0.0281295054026902,-2.95700632541421
224.9549,0.000919493649830776,-5.59186965029285
224.9643,0.000234533782560158,-6.9038155510508
225.0709,0.00231789103538823,-4.81457984165839
225.087,0.0144554064134556,-3.4387460515518
225.0876,0.00487298009745544,-4.23634326642832
225.1236,0.0044338587972571,4.30407521456068
225.1239,0.0489658233509391,2.54701585507198
226.0788,0.00787651791187527,3.86241028904981
226.1272,0.478234167781598,0.828155152807433
226.9845,1.58547544760595e-06,-13.31444563617
227.0238,1.89428366333622e-06,12.9509898629471
227.0685,2.71796319965094e-05,9.20806699714489
227.1395,0.811995099777952,-0.289671347063584
228.0636,0.00031443440115789,-6.63132559590086
228.087,2.1452029940539e-05,9.50468164491406
228.5239,0.00878074389632449,-3.78534448746696
229.0137,0.0270566706399186,-2.98384542937698
229.0978,0.959223802291536,-0.0621209250924055
229.1552,2.24777985244455e-05,-9.44060880539125
229.928,0.000832161762002999,-5.68968126410205
230.0429,0.0221696922378806,3.1306544564536
230.1392,4.41875718408175e-06,11.5665904831885
230.9471,0.271932311963276,-1.30129536506839
230.9705,0.000105326614691641,-7.74476563657516
231.0657,0.00267320605651889,-4.68694307224729
231.0674,0.026780374483831,-2.99571379380265
232.0135,0.197045180064175,-1.54478460144828
232.1408,0.00211905085246402,-4.88422058456377
232.9212,4.77087056273492e-07,-15.3096567166742
232.9425,0.77747864165537,-0.341921729213386
232.9998,0.104197857049042,-2.01439531288159
233.0087,0.0426604397617613,-2.65190200728821
233.1501,3.25324772525392e-05,9.00529108720887
233.9463,0.00201854483705595,-4.92827054518071
234.1342,1.3454236951158e-06,13.5826033176728
234.1453,0.00238898114792166,-4.77949626288874
234.1535,0.00464526337766014,4.27133943338661
235.0494,3.93235113870503e-06,-11.7837349336915
235.0495,5.38473856972321e-07,-15.0956313213315
236.539,0.815531699071945,-0.282248721921039
236.6425,0.00164745993959573,-5.09531497859966
237.0164,4.16069567003723e-07,15.5762459894541
237.063,2.55687857051372e-06,12.4591668782211
237.0908,1.8170923456555e-05,9.69550914864998
238.9704,0.00318256637365467,-4.56219337811098
238.98,0.000324449844724977,-6.59147623227888
239.0147,0.101508168474769,-2.03692938065887
239.1032,0.137458464757594,-1.81371676033865
241.0104,0.0160400487280684,-3.36280286974525
241.1035,0.696442882633205,0.463850650437104
242.0143,0.003262993868328,-4.54422825996506
242.0699,0.0110354173302791,3.63000447468117
242.1141,1.10690754627486e-05,10.3310523214982
243.027,6.95492388712485e-09,25.3855163365348
243.0883,0.0404388999490706,-2.68845161125166
244.0935,0.00156081801642711,-5.14682273140018
244.9056,0.0303635397224098,-2.89281732468
244.9417,0.253548482938351,-1.3560276307881
244.9862,0.0046328758970578,-4.27460847217129
245.0141,0.00222952821653027,-4.84352135096624
245.0492,0.464217557969799,0.857180610144108
245.0774,0.00686861147226892,-3.96724522051477
245.0775,0.217670028708926,-1.47013310238763
245.1138,0.933436794650912,0.107656497167711
246.0496,0.0268505471983486,-2.99236101628579
246.1818,7.37404651103751e-05,-8.11760213579756
246.9801,0.311545177622463,1.1929186875267
247.1023,0.015359837159637,3.39319672901246
247.5817,0.933436794650912,-0.103528976928523
248.0738,0.235580717412731,1.40914258954198
