Sample,wt_H1,wt_L4,wt_L5,wt_L6,wt_H2,wt_H3,wt_H4,wt_H5,wt_H6,wt_L1,wt_L2,wt_L3
Label,wt_H,wt_L,wt_L,wt_L,wt_H,wt_H,wt_H,wt_H,wt_H,wt_L,wt_L,wt_L
294.1555,1093097.717,3511.877018,3832.479951,5385.243466,1379159.851,356098.0912,492454.517,658424.3034,515500.047,4451.433382,4435.511184,4621.400453
318.1302,382800.7763,0,0,0,269681.6831,134065.2683,190892.4033,123067.161,219963.7435,0.254177698,0,0
342.1402,2416928.517,22.7928693,19.59759408,0,1108660.559,1257642.854,1237154.519,807445.4339,1280278.055,0,15.76224163,0
106.0069,3598.06025,3875.440083,3892.072901,4592.097576,4449.308939,3755.199604,2483.307207,4686.530687,2369.826179,3563.463233,4670.143207,5039.623474
167.0819,51807.10582,2922.745336,3109.151984,4568.496853,33377.85464,59840.9424,24679.44069,18298.53135,43247.00009,2411.052987,3352.518051,2878.622474
634.4457,98059.7119,58347.69436,41457.18688,64560.09516,58954.58199,60825.00307,36887.00016,65214.48904,60397.33514,70876.90638,40173.0301,52345.63181
266.1241,218225.433,0,0,0,272049.113,29106.92004,35769.67177,101676.8906,60046.10399,0,0,0
309.1299,946395.6849,2366.154259,4983.937233,3306.507551,751532.52,374811.7965,922055.6168,530414.222,762570.0745,4131.568736,2292.286789,2138.312197
243.027,239844.4436,4526.984691,4595.284445,4039.528498,243828.059,306423.1132,83319.60723,207720.9574,128970.3746,4973.571802,1885.432057,5221.788547
182.1391,479.1802569,154.1067854,456.6640477,508.0810743,236.4387463,293.8292069,549.0770819,193.5327339,462.4310575,352.579033,176.5619381,268.2694879
489.1159,12370.72855,45151.49204,47675.36513,36523.47953,16866.85389,18477.04928,2244.647569,9355.996613,4928.633551,76026.89511,30096.45348,57967.86852
126.0772,0,1239.615808,1561.491614,938.5084778,121.1169349,114.4729095,197.9682954,150.7616485,0,818.8537919,2239.266495,1867.85468
263.0598,6789.98947,3863.520376,3063.391198,7643.435638,6784.99446,2562.383525,7123.587304,6551.98007,5842.444399,5347.787771,8448.4659,5516.218277
299.122,2777.442848,6464.771946,3171.014129,1889.717204,6705.338007,3020.272902,2479.725296,3161.587659,4143.140843,518.6910983,10230.84223,6140.339263
243.0883,50336.82444,30250.19051,31191.41759,34523.51921,45072.55559,44504.8079,20877.49386,41565.69916,27490.91127,42421.39867,21286.14999,30640.03013
427.0963,17239.31078,8265.31672,4441.110674,7416.972261,13152.97614,8102.430748,11603.13498,9204.979423,7056.059752,13696.42921,12711.68256,7960.074253
116.0709,761736.9965,596571.8511,587114.7909,384915.4145,786360.6107,698246.2507,464484.9239,570988.814,573589.6119,620179.905,324756.1851,535054.548
116.9951,1997252.009,1887625.021,1954822.296,1595635.849,1971249.341,1958523.652,731460.6027,1395378.549,1242513.912,2703359.048,1105854,2142776.45
379.1293,105327.2185,4503.362103,5745.526633,239.9252758,256536.5791,348587.9323,15234.6594,184129.6172,36686.35003,8053.639465,234.9584714,5307.424369
309.1387,45037.54094,93302.43798,118443.3137,22820.44378,91104.28244,77489.01665,26920.55469,59774.24628,21269.77341,59297.61126,57807.02793,89510.82053
