rxnID	coefficient	Metabolite standard name	Metabolite_type	compartment
MNXR135003	1	triphosphate	reactant	extracellular
MNXR135003	1	triphosphate	product	cytoplasm
MNXR135003	1	H+	product	cytoplasm
MNXR118731	1	cytidine 2'-phosphate	reactant	cytoplasm
MNXR118731	1	H2O	reactant	cytoplasm
MNXR118731	1	cytidine	product	cytoplasm
MNXR118731	1	phosphate	product	cytoplasm
MNXR135010	1	H+	reactant	extracellular
MNXR135010	1	cytidine 2'-phosphate	reactant	extracellular
MNXR135010	1	cytidine 2'-phosphate	product	cytoplasm
MNXR135010	1	H+	product	cytoplasm
MNXR117327	1	2',3'-cyclic UMP	reactant	cytoplasm
MNXR117327	1	H2O	reactant	cytoplasm
MNXR117327	1	uridine 2'-phosphate	product	cytoplasm
MNXR117327	1	H+	product	cytoplasm
MNXR136674	1	H+	reactant	extracellular
MNXR136674	1	2',3'-cyclic UMP	reactant	extracellular
MNXR136674	1	2',3'-cyclic UMP	product	cytoplasm
MNXR136674	1	H+	product	cytoplasm
MNXR123155	1	3-sulfino-L-alanine	reactant	cytoplasm
MNXR123155	1	H2O	reactant	cytoplasm
MNXR123155	1	L-alanine	product	cytoplasm
MNXR123155	1	sulphite	product	cytoplasm
MNXR137086	1	H+	reactant	extracellular
MNXR137086	1	3-sulfino-L-alanine	reactant	extracellular
MNXR137086	1	3-sulfino-L-alanine	product	cytoplasm
MNXR137086	1	H+	product	cytoplasm
MNXR94935	1	3'-AMP	reactant	cytoplasm
MNXR94935	1	H2O	reactant	cytoplasm
MNXR94935	1	adenosine	product	cytoplasm
MNXR94935	1	phosphate	product	cytoplasm
MNXR94857	1	3'-AMP	reactant	extracellular
MNXR94857	1	3'-AMP	product	cytoplasm
MNXR130717	1	6-O-alpha-D-glucopyranosyl-D-fructofuranose	reactant	cytoplasm
MNXR130717	1	H2O	reactant	cytoplasm
MNXR130717	1	D-fructose	product	cytoplasm
MNXR130717	1	D-glucose	product	cytoplasm
MNXR102339	1	H+	reactant	extracellular
MNXR102339	1	6-O-alpha-D-glucopyranosyl-D-fructofuranose	reactant	extracellular
MNXR102339	1	6-O-alpha-D-glucopyranosyl-D-fructofuranose	product	cytoplasm
MNXR102339	1	H+	product	cytoplasm
MNXR103637	1	N-acetyl-L-cysteine	reactant	cytoplasm
MNXR103637	1	coenzyme A	reactant	cytoplasm
MNXR103637	1	H+	reactant	cytoplasm
MNXR103637	1	acetyl-CoA	product	cytoplasm
MNXR103637	1	L-cysteine	product	cytoplasm
MNXR137052	1	H+	reactant	extracellular
MNXR137052	1	N-acetyl-L-cysteine	reactant	extracellular
MNXR137052	1	N-acetyl-L-cysteine	product	cytoplasm
MNXR137052	1	H+	product	cytoplasm
MNXR106345	1	tetrathionate	reactant	cytoplasm
MNXR106345	2	ferricytochrome c	reactant	mitochondrion
MNXR106345	2	thiosulfate	product	cytoplasm
MNXR106345	2	ferrocytochrome c	product	mitochondrion
MNXR104796	1	tetrathionate	reactant	extracellular
MNXR104796	1	tetrathionate	product	cytoplasm
L-methionine transport, vacuoluar	1	L-methionine	reactant	cytoplasm
L-methionine transport, vacuoluar	1	L-methionine	product	vacuole
MNXR99485	1	2-hydroxyethane-1-sulfonate	reactant	cytoplasm
MNXR99485	1	FMNH2	reactant	cytoplasm
MNXR99485	1	oxygen	reactant	cytoplasm
MNXR99485	1	H+	product	cytoplasm
MNXR99485	1	sulphite	product	cytoplasm
MNXR99485	1	H2O	product	cytoplasm
MNXR99485	1	FMN	product	cytoplasm
MNXR99485	1	glycolaldehyde	product	cytoplasm
MNXR137058	1	H+	reactant	extracellular
MNXR137058	1	2-hydroxyethane-1-sulfonate	reactant	extracellular
MNXR137058	1	2-hydroxyethane-1-sulfonate	product	cytoplasm
MNXR137058	1	H+	product	cytoplasm
MNXR95065	1	H+	reactant	cytoplasm
MNXR95065	1	NADPH	reactant	cytoplasm
MNXR95065	1	5-dehydro-D-gluconate	reactant	cytoplasm
MNXR95065	1	D-gluconate	product	cytoplasm
MNXR95065	1	NADP(+)	product	cytoplasm
MNXR95066	1	H+	reactant	extracellular
MNXR95066	1	5-dehydro-D-gluconate	reactant	extracellular
MNXR95066	1	5-dehydro-D-gluconate	product	cytoplasm
MNXR95066	1	H+	product	cytoplasm
MNXR137135	1	Ala-Asp	reactant	extracellular
MNXR137135	1	H+	reactant	extracellular
MNXR137135	1	H+	product	cytoplasm
MNXR137135	1	Ala-Asp	product	cytoplasm
MNXR137135_cv	1	H+	reactant	cytoplasm
MNXR137135_cv	1	Ala-Asp	reactant	cytoplasm
MNXR137135_cv	1	H+	product	vacuole
MNXR137135_cv	1	Ala-Asp	product	vacuole
MNXR123344	1	Ala-Asp	reactant	vacuole
MNXR123344	1	H2O	reactant	vacuole
MNXR123344	1	L-alanine	product	vacuole
MNXR123344	1	L-aspartate	product	vacuole
MNXR96247	1	methyl alpha-D-glucopyranoside	reactant	cytoplasm
MNXR96247	1	H2O	reactant	cytoplasm
MNXR96247	1	D-glucose	product	cytoplasm
MNXR96247	1	methanol	product	cytoplasm
MNXR101464	1	methanol	reactant	cytoplasm
MNXR101464	1	methanol	product	extracellular
MNXR98748	1	methanol	reactant	extracellular
MNXR137048	1	H+	reactant	extracellular
MNXR137048	1	methyl alpha-D-glucopyranoside	reactant	extracellular
MNXR137048	1	methyl alpha-D-glucopyranoside	product	cytoplasm
MNXR137048	1	H+	product	cytoplasm
MNXR117326	1	2',3'-cyclic CMP	reactant	cytoplasm
MNXR117326	1	H2O	reactant	cytoplasm
MNXR117326	1	cytidine 2'-phosphate	product	cytoplasm
MNXR117326	1	H+	product	cytoplasm
MNXR136673	1	H+	reactant	extracellular
